Name,Google Play Price,App Store Price
Crazy Love Story - Wedding Dreams,,0.0
Crazy Maze - Traffic Puzzle,,0.0
Crazy Nursery - Newborn Baby Doctor Care,,0.0
Crazy Taxi,,0.0
Crazy Taxi™ City Rush,,0.0
Crazy Truck!,,0.0
Cricket Captain 2016,,3.99
Crime City Real Action Simulator Theft kill shooting- sniper game,,0.0
Criminal Case,,0.0
Cristiano Ronaldo: Kick'n'Run,,0.0
Critter Academy,,0.0
Crooked Path,,0.0
Crooked Path: Infinity Run,,0.0
Crossy Maze,,0.0
Crossy Road - Endless Arcade Hopper,,0.0
Crusader Kings: Chronicles,,4.99
Crush the Castle,,0.99
Crypt of the NecroDancer Pocket Edition,,4.99
Crystal Rush! Color Shoot Arcade Game,,0.0
Cube Roll,,0.0
Cube Skip,,0.0
"CubeMator - Craft, Build and Explore the World",,0.0
Cubed Rally World,,0.0
Cubicle.,,0.0
Cubway,,0.0
Cupcake Mania™,,0.0
Curvulate,,0.0
Cut the Rope,,1.99
Cut the Rope 2,,1.99
Cut the Rope HD,,3.99
Cut the Rope HD™,,0.0
Cut the Rope: Experiments,,0.99
Cut the Rope: Magic,,0.99
Cut the Rope: Time Travel,,0.99
Cut the Rope: Time Travel Free,,0.0
Cut the Rope: Time Travel HD,,0.99
Cyber Reversi,,0.0
Cytus,,1.99
D&D Lords of Waterdeep,,6.99
DANDY DUNGEON Legend of Brave Yamada,,0.0
DARUMA -目玉を転がして入れてください-,,0.0
DC Legends,,0.0
DEAD TRIGGER,,0.0
DEATHSMILES,,9.99
DEVICE 6,,3.99
DMBX 2 - Mountain Bike and BMX,,1.99
DOFUS Touch,,0.0
DOOM Classic,,4.99
DOOM II RPG,,0.99
DRAGON BALL Z DOKKAN BATTLE,,0.0
DRAGON QUEST,,2.99
DUAL!,,0.0
Daddy Long Legs,,0.0
Daddy's Little Helper - Messy Home Adventure,,0.0
Daily Celebrity Crossword,,0.0
Daisy Chain,,0.99
Dan The Man (Retro Action Platformer),,0.0
Dancing with the Stars: The Official Game,,0.0
Danger Dodgers,,0.0
Dangerous Games: Illusionist HD - A Magical Hidden Object Mystery (Full),,6.99
Danse Macabre: Deadly Deception - A Mystery Hidden Object Game (Full),,6.99
Danse Macabre: Lethal Letters - A Mystery Hidden Object Game (Full),,6.99
